run_dir,job_id,composition,temperature_K,recombination_rate_defects_per_ps,crowdion_fraction,dumbbell_fraction,median_cluster_size_atoms,crowdion_mean_v111_Aps,dumbbell_mean_v111_Aps,crowdion_mean_net_displacement_A,dumbbell_mean_net_displacement_A,dumbbell_mean_tortuosity,turn_rate_dumbbell_per_ps,RRI_phys,RRI_ml
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3685519/analysis_production_eigen_greedy1/run_3,3685519,V-1_2Ti,300,-25.56776013463036,0.00743356373070803,0.9925664362692921,2.0,28.235016413431985,8.501287295993667,0.9598707747016239,3.984124781754079,4.529967079310183,0.46693055767138963,0.18781036834269968,-1.2170119129449217
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-1_2Ti/3685519/analysis_production_eigen_greedy1/run_4,3685519,V-1_2Ti,300,-9.366738355728781,0.007261049151917511,0.9927389508480825,2.0,36.943438031295806,10.908612489363497,0.8251819381684559,3.505381704491455,4.731380064240539,0.3674074605806859,-0.4345843760383341,1.3847564824820453
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3681721/analysis_production_eigen_greedy1/run_0,3681721,V-2Cr-2Ti-2W-2Zr,300,-27.8590235650198,0.011303975021897854,0.9886960249781022,2.0,39.30695058251019,14.006025726664795,1.4545049191104418,3.479208585461705,3.735246504466404,0.47060583697841496,0.041063054367343074,-0.6356004306036692
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3681721/analysis_production_eigen_greedy1/run_1,3681721,V-2Cr-2Ti-2W-2Zr,300,-32.56245663569445,0.02819379980719285,0.9718062001928072,2.0,77.24506662375731,35.042803572876984,2.823798811082561,6.07088131286548,2.3340800589868493,0.9430952061076021,-0.41246293455442107,0.6616100163266876
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3681721/analysis_production_eigen_greedy1/run_2,3681721,V-2Cr-2Ti-2W-2Zr,300,-25.84902415101424,0.007274923371073477,0.9927250766289266,2.0,38.3746087532919,9.49112349357694,1.3982767528418563,3.502853389803321,4.340673076711769,0.4268046068031177,0.11642972008789416,-0.6305523554142592
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3681721/analysis_production_eigen_greedy1/run_3,3681721,V-2Cr-2Ti-2W-2Zr,300,-35.69811322747508,0.02926577833996312,0.9707342216600369,2.0,72.79324075105164,32.67797758283092,2.9986875200360785,6.028377854864211,2.702818430768453,0.8577459526470154,-0.3442175110745691,0.18099216556393333
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3681721/analysis_production_eigen_greedy1/run_4,3681721,V-2Cr-2Ti-2W-2Zr,300,-8.72365029128014,0.010710122960076274,0.9892898770399238,2.0,20.378008178810187,10.00296703990009,0.8468008653832416,2.9150995285871146,3.9128945220104447,0.2570307535205627,-0.5856126457487224,1.0294512707887864
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3685523/analysis_production_eigen_greedy1/run_0,3685523,V-2Cr-2Ti-2W-2Zr,873,-23.557814537525797,0.009259720763929792,0.9907402792360703,2.0,49.684763345671506,11.43924713245527,2.0261851235037946,4.52415141454696,5.1032088550862165,0.6593277367960243,0.11021724941292779,0.01506400655021314
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3685523/analysis_production_eigen_greedy1/run_1,3685523,V-2Cr-2Ti-2W-2Zr,873,-25.08524522554462,0.023128513214700625,0.9768714867852994,2.0,70.66565488203537,29.94587107070158,2.379714322087873,5.956068814351248,2.6852071455237585,0.9303963436598673,-0.44599626891576055,1.0521625208488907
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3685523/analysis_production_eigen_greedy1/run_2,3685523,V-2Cr-2Ti-2W-2Zr,873,-29.30630733151233,0.007512414798836101,0.992487585201164,2.0,51.755954911336055,10.624188334280998,1.8923430959532344,4.410647951546806,4.803560533203582,0.6948762801745844,0.34700167911237734,-0.6972394993094418
/Users/myless/Documents/prim_damage_analysis/data/analyzed_runs_output/V-2Cr-2Ti-2W-2Zr/3685523/analysis_production_eigen_greedy1/run_3,3685523,V-2Cr-2Ti-2W-2Zr,873,-17.406959513820393,0.005142433399597869,0.994857566600402,2.0,30.582282064369707,6.44636134011629,0.9677332226784632,2.9357085964618848,5.869464472880041,0.38011543107095136,0.07099364026452938,0.18656856106326175
